R	53.3027	-6.17833	E909	26 Oct 2022	E909\n08:24 - Greystones to Howth (-1 mins late)\nArrived Blackrock next stop Booterstown	Northbound
R	53.3223	-6.52356	D403	26 Oct 2022	D403\n08:10 - Grand Canal Dock to Newbridge (5 mins late)\nDeparted Hazelhatch next stop Newbridge	Southbound
R	53.334	-6.37868	A505	26 Oct 2022	A505\n07:00 - Waterford to Dublin Heuston (5 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	A705	26 Oct 2022	A705\n06:25 - Galway to Dublin Heuston (11 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P206	26 Oct 2022	P206\n08:12 - Newbridge to Dublin Heuston (13 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P405	26 Oct 2022	P405\n08:35 - Hazelhatch to Grand Canal Dock (10 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3347	-6.22979	E950	26 Oct 2022	E950\n08:25 - Bray to Howth (0 mins late)\nArrived Lansdowne Road next stop Grand Canal Dock	Northbound
R	53.3397	-6.23773	E211	26 Oct 2022	E211\n08:20 - Howth to Bray (1 mins late)\nDeparted Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.347	-6.25425	E908	26 Oct 2022	E908\n08:15 - Bray to Howth (1 mins late)\nArrived Tara Street next stop Dublin Connolly	Northbound
R	53.347	-6.25425	P404	26 Oct 2022	P404\n08:17 - Hazelhatch to Grand Canal Dock (4 mins late)\nArrived Tara Street next stop Dublin Pearse	Northbound
R	53.3531	-6.24591	E106	26 Oct 2022	E106\n08:30 - Malahide to Greystones (1 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3531	-6.24591	E807	26 Oct 2022	E807\n07:54 - Greystones to Malahide (8 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3602	-7.79847	A700	26 Oct 2022	A700\n07:35 - Dublin Heuston to Galway (9 mins late)\nArrived Clonydonnin next stop Athlone	To Galway
R	53.3629	-6.22753	P606	26 Oct 2022	P606\n07:58 - Drogheda to Bray (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	D905	26 Oct 2022	D905\n08:04 - Dublin Pearse to Maynooth (13 mins late)\nArrived Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3704	-6.50598	P735	26 Oct 2022	P735\n08:40 - Maynooth to Dublin Connolly (13 mins late)\nArrived Leixlip (Louisa Bridge) next stop Leixlip (Confey)	Southbound
R	53.373	-6.20442	E212	26 Oct 2022	E212\n08:41 - Howth to Bray (0 mins late)\nArrived Killester next stop Clontarf Road	Southbound
R	53.3743	-6.48624	P654	26 Oct 2022	P654\n08:15 - Maynooth to Dublin Pearse (33 mins late)\nArrived Leixlip (Confey) next stop Clonsilla	Southbound
R	53.3752	-6.31388	P653	26 Oct 2022	P653\n07:54 - Maynooth to Bray (32 mins late)\nArrived Pelletstown next stop Broombridge	Southbound
R	53.3776	-6.39072	D301	26 Oct 2022	D301\n08:23 - Docklands to M3 Parkway (15 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.3776	-6.39072	P303	26 Oct 2022	P303\n08:16 - M3 Parkway to Docklands (28 mins late)\nArrived Coolmine next stop Castleknock	Southbound
R	53.3777	-6.34591	D907	26 Oct 2022	D907\n08:23 - Dublin Pearse to Maynooth (13 mins late)\nDeparted Navan Road Parkway next stop Castleknock	Northbound
R	53.3815	-6.17699	E907	26 Oct 2022	E907\n07:55 - Bray to Howth (6 mins late)\nArrived Raheny next stop Kilbarrack	Northbound
R	53.3909	-6.15672	E213	26 Oct 2022	E213\n08:50 - Malahide to Bray (1 mins late)\nArrived Howth Junction next stop Kilbarrack	Southbound
R	53.392	-6.11448	E906	26 Oct 2022	E906\n07:24 - Greystones to Howth (15 mins late)\nDeparted Sutton next stop Howth	Northbound
R	53.4032	-6.14839	E806	26 Oct 2022	E806\n07:45 - Bray to Malahide (5 mins late)\nDeparted Clongriffin next stop Portmarnock	Northbound
R	53.4157	-6.83395	A903	26 Oct 2022	A903\n06:40 - Sligo to Dublin Connolly (13 mins late)\nArrived Enfield next stop Kilcock	Southbound
R	53.4273	-7.93683	A803	26 Oct 2022	A803\n07:15 - Westport to Dublin Heuston (-2 mins late)\nArrived Athlone next stop Clara	To Dublin Heuston
R	53.5201	-6.1439	P607	26 Oct 2022	P607\n08:30 - Drogheda to Dublin Pearse (0 mins late)\nDeparted Rush and Lusk next stop Donabate	Southbound
R	53.523	-7.34608	A900	26 Oct 2022	A900\n06:55 - Dublin Connolly to Sligo (29 mins late)\nDeparted Mullingar next stop Edgeworthstown	Northbound
R	53.638	-6.21705	A121	26 Oct 2022	A121\n06:50 - Belfast to Dublin Connolly (28 mins late)\nDeparted Gormanston next stop Dublin Connolly	Southbound
R	53.6794	-6.24253	D801	26 Oct 2022	D801\n07:54 - Dublin Pearse to Dundalk (2 mins late)\nDeparted Laytown next stop Drogheda	Northbound
R	54.0007	-6.41291	A122	26 Oct 2022	A122\n07:35 - Dublin Connolly to Belfast (15 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	52.5009	-8.20003	A453	26 Oct 2022	A453\n07:20 - Waterford to Limerick Junction(-3 mins late)\nTERMINATED Limerick Junction at 08:59	To Limerick Junction
T	53.2043	-6.10046	E208	26 Oct 2022	E208\n07:40 - Howth to Bray(3 mins late)\nTERMINATED Bray at 08:58	Southbound
T	53.3531	-6.24591	A901	26 Oct 2022	A901\n05:40 - Sligo to Dublin Connolly(5 mins late)\nTERMINATED Dublin Connolly at 08:54	Southbound
T	53.4349	-6.46898	D300	26 Oct 2022	D300\n07:51 - Docklands to M3 Parkway(30 mins late)\nTERMINATED M3 Parkway at 08:58	Northbound
